Sample	Year	location	Species	Residency status
SRR9850953	2016	China  Jiangsu	Unknown wild birds	Unknown
SRR9850954	2016	China  Jiangsu	Unknown wild birds	Unknown
SRR9850967	2016	China  Jiangxi	Anser cygnoides	migratory birds
SRR9850968	2016	China  Jiangxi	Anser cygnoides	migratory birds
SRR9850969	2016	China  Jiangxi	Anser cygnoides	migratory birds
SRR9850970	2016	China  Jiangxi	Anser cygnoides	migratory birds
SRR9850971	2016	China  Jiangxi	Anser cygnoides	migratory birds
SRR9850972	2016	China  Jiangxi	Anser cygnoides	migratory birds
SRR9850973	2016	China  Jiangxi	Anser cygnoides	migratory birds
SRR9850975	2016	China  Jiangxi	Anser cygnoides	migratory birds
SRR9850988	2016	China  Jiangxi	Anser cygnoides	migratory birds
SRR9850989	2016	China  Jiangxi	Anser cygnoides	migratory birds
SRR9850990	2016	China  Jiangxi	Anser cygnoides	migratory birds
SRR9850991	2016	China  Jiangxi	Anser cygnoides	migratory birds
SRR9850992	2016	China  Jiangxi	Anser cygnoides	migratory birds
SRR9850993	2016	China  Jiangxi	Anser cygnoides	migratory birds
SRR19660474	2022	China  Kunming	Larus ridibundus	migratory birds
SRR19660473	2022	China  Kunming	Larus ridibundus	migratory birds
SRR19660472	2022	China  Kunming	Larus ridibundus	migratory birds
SRR19660471	2022	China  Kunming	Larus ridibundus	migratory birds
SRR19660470	2022	China  Kunming	Larus ridibundus	migratory birds
SRR19660469	2022	China  Kunming	Larus ridibundus	migratory birds
SRR19660468	2022	China  Kunming	Larus ridibundus	migratory birds
SRR19660467	2022	China  Kunming	Larus ridibundus	migratory birds
SRR9850955	2016	China  Qinghai	Unknown wild birds	Unknown
SRR9850956	2016	China  Qinghai	Unknown wild birds	Unknown
SRR9850957	2016	China  Qinghai	Unknown wild birds	Unknown
SRR9850958	2016	China  Qinghai	Unknown wild birds	Unknown
SRR9850959	2016	China  Qinghai	Unknown wild birds	Unknown
SRR9850960	2016	China  Qinghai	Unknown wild birds	Unknown
SRR9850961	2016	China  Qinghai	Unknown wild birds	Unknown
SRR9850962	2016	China  Qinghai	Unknown wild birds	Unknown
SRR9850963	2016	China  Qinghai	Unknown wild birds	Unknown
SRR9850964	2016	China  Qinghai	Unknown wild birds	Unknown
SRR9850965	2016	China  Qinghai	Unknown wild birds	Unknown
SRR9850966	2016	China  Qinghai	Unknown wild birds	Unknown
SRR9850985	2016	China  Qinghai	Unknown wild birds	Unknown
SRR9850986	2016	China  Qinghai	Unknown wild birds	Unknown
SRR9850987	2016	China  Qinghai	Unknown wild birds	Unknown
SRR10492800	2020	China  Qinghai	Anser indicus	migratory birds
SRR10492799	2020	China  Qinghai	Anser indicus	migratory birds
SRR10492798	2020	China  Qinghai	Chroicocephalus ridibundus	migratory birds
SRR10492797	2020	China  Qinghai	Phalacrocorax carbo	migratory birds
SRR3327572	2014	China  Qinghai	Anser indicus	migratory birds
SRR3327573	2015	China  Qinghai	Anser indicus	migratory birds
CRR914878	2022	China  Qinghai	Gyps himalayensis	Resident birds
CRR914879	2022	China  Qinghai	Gyps himalayensis	Resident birds
CRR914880	2022	China  Qinghai	Gyps himalayensis	Resident birds
CRR914881	2022	China  Qinghai	Gyps himalayensis	Resident birds
CRR914882	2022	China  Qinghai	Gyps himalayensis	Resident birds
CRR914883	2022	China  Qinghai	Gyps himalayensis	Resident birds
CRR914884	2022	China  Qinghai	Gyps himalayensis	Resident birds
CRR914885	2022	China  Qinghai	Gyps himalayensis	Resident birds
SRR3327411	2014	China  Qinghai	Anser indicus	migratory birds
SRR3327343	2014	China  Qinghai	Anser indicus	migratory birds
CRR1273915	2023	China  Qinghai	Corvus corax	Resident birds
CRR1273916	2023	China  Qinghai	Corvus corax	Resident birds
CRR1273917	2023	China  Qinghai	Corvus corax	Resident birds
CRR1273918	2023	China  Qinghai	Corvus corax	Resident birds
CRR1273919	2023	China  Qinghai	Corvus corax	Resident birds
CRR1273920	2023	China  Qinghai	Corvus corax	Resident birds
CRR1274818	2023	China  Qinghai	Corvus dauuricus	Resident birds
CRR1274819	2023	China  Qinghai	Corvus dauuricus	Resident birds
CRR1274820	2023	China  Qinghai	Corvus dauuricus	Resident birds
CRR1274821	2023	China  Qinghai	Corvus dauuricus	Resident birds
CRR1274822	2023	China  Qinghai	Corvus dauuricus	Resident birds
CRR1274823	2023	China  Qinghai	Corvus dauuricus	Resident birds
CRR1274824	2023	China  Qinghai	Corvus dauuricus	Resident birds
CRR1274825	2023	China  Qinghai	Corvus dauuricus	Resident birds
CRR1274826	2023	China  Qinghai	Corvus dauuricus	Resident birds
CRR1274827	2023	China  Qinghai	Corvus dauuricus	Resident birds
CRR1274828	2023	China  Qinghai	Corvus dauuricus	Resident birds
CRR1274829	2023	China  Qinghai	Corvus dauuricus	Resident birds
CRR1287467	2023	China  Qinghai	Corvus frugilegus	Resident birds
CRR1287468	2023	China  Qinghai	Corvus frugilegus	Resident birds
CRR1287469	2023	China  Qinghai	Corvus frugilegus	Resident birds
CRR1287470	2023	China  Qinghai	Corvus frugilegus	Resident birds
CRR1287471	2023	China  Qinghai	Corvus frugilegus	Resident birds
CRR1287472	2023	China  Qinghai	Corvus frugilegus	Resident birds
CRR1287473	2023	China  Qinghai	Corvus frugilegus	Resident birds
CRR1287474	2023	China  Qinghai	Corvus frugilegus	Resident birds
CRR1287475	2023	China  Qinghai	Corvus frugilegus	Resident birds
CRR1287476	2023	China  Qinghai	Corvus frugilegus	Resident birds
CRR1287477	2023	China  Qinghai	Corvus frugilegus	Resident birds
CRR1293703	2023	China  Qinghai	Corvus macrorhynchos	Resident birds
CRR1293704	2023	China  Qinghai	Corvus macrorhynchos	Resident birds
CRR1293705	2023	China  Qinghai	Corvus macrorhynchos	Resident birds
CRR1293706	2023	China  Qinghai	Corvus macrorhynchos	Resident birds
CRR1293707	2023	China  Qinghai	Corvus macrorhynchos	Resident birds
CRR1274799	2023	China  Qinghai	Pyrrhocorax pyrrhocorax	Resident birds
CRR1274800	2023	China  Qinghai	Pyrrhocorax pyrrhocorax	Resident birds
CRR1274801	2023	China  Qinghai	Pyrrhocorax pyrrhocorax	Resident birds
CRR1274802	2023	China  Qinghai	Pyrrhocorax pyrrhocorax	Resident birds
CRR1274803	2023	China  Qinghai	Pyrrhocorax pyrrhocorax	Resident birds
CRR1274804	2023	China  Qinghai	Pyrrhocorax pyrrhocorax	Resident birds
CRR1274805	2023	China  Qinghai	Pyrrhocorax pyrrhocorax	Resident birds
CRR1274806	2023	China  Qinghai	Pyrrhocorax pyrrhocorax	Resident birds
CRR1274807	2023	China  Qinghai	Pyrrhocorax pyrrhocorax	Resident birds
CRR1274808	2023	China  Qinghai	Pyrrhocorax pyrrhocorax	Resident birds
CRR1274809	2023	China  Qinghai	Pyrrhocorax pyrrhocorax	Resident birds
CRR1274810	2023	China  Qinghai	Pyrrhocorax pyrrhocorax	Resident birds
CRR1274811	2023	China  Qinghai	Pyrrhocorax pyrrhocorax	Resident birds
CRR1274812	2023	China  Qinghai	Pyrrhocorax pyrrhocorax	Resident birds
CRR1274813	2023	China  Qinghai	Pyrrhocorax pyrrhocorax	Resident birds
CRR1274814	2023	China  Qinghai	Pyrrhocorax pyrrhocorax	Resident birds
CRR1274815	2023	China  Qinghai	Pyrrhocorax pyrrhocorax	Resident birds
CRR1274816	2023	China  Qinghai	Pyrrhocorax pyrrhocorax	Resident birds
CRR1274817	2023	China  Qinghai	Pyrrhocorax pyrrhocorax	Resident birds
SRR9850912	2016	China  Shandong	Anser fabalis	migratory birds
SRR9850913	2016	China  Shandong	Anser fabalis	migratory birds
SRR9850914	2016	China  Shandong	Anser fabalis	migratory birds
SRR9850915	2016	China  Shandong	Anser fabalis	migratory birds
SRR9850916	2016	China  Shandong	Anser fabalis	migratory birds
SRR9850917	2016	China  Shandong	Anser fabalis	migratory birds
SRR9850926	2016	China  Shandong	Anser fabalis	migratory birds
SRR9850927	2016	China  Shandong	Anser fabalis	migratory birds
SRR9850929	2016	China  Shandong	Anser fabalis	migratory birds
SRR9850930	2016	China  Shandong	Anser fabalis	migratory birds
SRR9850931	2016	China  Shandong	Anser fabalis	migratory birds
SRR9850903	2017	China  Tibet	Anser indicus	migratory birds
SRR9850904	2017	China  Tibet	Anser indicus	migratory birds
SRR9850905	2017	China  Tibet	Anser indicus	migratory birds
SRR9850906	2017	China  Tibet	Anser indicus	migratory birds
SRR9850907	2017	China  Tibet	Anser indicus	migratory birds
SRR9850908	2017	China  Tibet	Anser indicus	migratory birds
SRR9850909	2017	China  Tibet	Anser indicus	migratory birds
SRR9850910	2017	China  Tibet	Anser indicus	migratory birds
SRR9850911	2017	China  Tibet	Anser indicus	migratory birds
SRR9850948	2017	China  Tibet	Anser indicus	migratory birds
SRR9850949	2017	China  Tibet	Anser indicus	migratory birds
SRR9850950	2017	China  Tibet	Anser indicus	migratory birds
SRR9850902	2017	China  Tibet	Anser indicus	migratory birds
SRR9850942	2016	China  Zhejiang	Unknown wild birds	Unknown
SRR9850944	2016	China  Zhejiang	Unknown wild birds	Unknown
SRR9850994	2016	China  Zhejiang	Unknown wild birds	Unknown
SRR9850995	2016	China  Zhejiang	Unknown wild birds	Unknown
SRR9850996	2016	China  Zhejiang	Unknown wild birds	Unknown
SRR9850997	2016	China  Zhejiang	Unknown wild birds	Unknown
SRR9850998	2016	China  Zhejiang	Unknown wild birds	Unknown
SRR9850999	2016	China  Zhejiang	Unknown wild birds	Unknown
SRR9851000	2016	China  Zhejiang	Unknown wild birds	Unknown
SRR9851001	2016	China  Zhejiang	Unknown wild birds	Unknown
SRR9851002	2016	China  Zhejiang	Unknown wild birds	Unknown
SRR9851003	2016	China  Zhejiang	Unknown wild birds	Unknown
SRR9851004	2016	China  Zhejiang	Unknown wild birds	Unknown
AH02	2022	China Anhui	Anser fabalis	migratory birds
AH03	2022	China Anhui	Anser fabalis	migratory birds
AH04	2022	China Anhui	Anser fabalis	migratory birds
AH05	2022	China Anhui	Anser fabalis	migratory birds
AH07	2022	China Anhui	Anser fabalis	migratory birds
AH09	2022	China Anhui	Anser fabalis	migratory birds
AH10	2022	China Anhui	Anser fabalis	migratory birds
AH11	2022	China Anhui	Anser fabalis	migratory birds
AH12	2022	China Anhui	Anser fabalis	migratory birds
AH13	2022	China Anhui	Anser fabalis	migratory birds
SRR25662272	2020	China Jiangsu	Grus nigricollis	migratory birds
CRR028392	2016	China Qinghai	Anser anser	migratory birds
CRR028393	2016	China Qinghai	Anser anser	migratory birds
CRR028394	2016	China Qinghai	Anser anser	migratory birds
CRR028395	2016	China Qinghai	Tadorna ferruginea	migratory birds
CRR028396	2016	China Qinghai	Tadorna ferruginea	migratory birds
CRR028397	2016	China Qinghai	Tadorna ferruginea	migratory birds
QH01	2022	China Qinghai	Anser indicus	migratory birds
QH02	2022	China Qinghai	Anser indicus	migratory birds
QH03	2022	China Qinghai	Anser indicus	migratory birds
QH04	2022	China Qinghai	Anser indicus	migratory birds
QH05	2022	China Qinghai	Anser indicus	migratory birds
QH06	2022	China Qinghai	Anser indicus	migratory birds
QH07	2022	China Qinghai	Anser indicus	migratory birds
QH08	2022	China Qinghai	Anser indicus	migratory birds
QH10	2022	China Qinghai	Anser indicus	migratory birds
QH13	2022	China Qinghai	Anser indicus	migratory birds
QH14	2022	China Qinghai	Anser indicus	migratory birds
QH15	2022	China Qinghai	Anser indicus	migratory birds
QH16	2022	China Qinghai	Anser indicus	migratory birds
QH17	2022	China Qinghai	Anser indicus	migratory birds
QH20	2022	China Qinghai	Anser indicus	migratory birds
SRR27471755	2020	China Shandong	Zoothera dauma	migratory birds
SD01	2022	China Shandong	Cygnus cygnus	migratory birds
SD02	2022	China Shandong	Cygnus cygnus	migratory birds
SD03	2022	China Shandong	Cygnus cygnus	migratory birds
SD04	2022	China Shandong	Cygnus cygnus	migratory birds
SD05	2022	China Shandong	Cygnus cygnus	migratory birds
SD06	2022	China Shandong	Cygnus cygnus	migratory birds
SD07	2022	China Shandong	Cygnus cygnus	migratory birds
SD08	2022	China Shandong	Cygnus cygnus	migratory birds
SD09	2022	China Shandong	Cygnus cygnus	migratory birds
SD10	2022	China Shandong	Cygnus cygnus	migratory birds
SD13	2022	China Shandong	Cygnus cygnus	migratory birds
SD14	2022	China Shandong	Cygnus cygnus	migratory birds
SD15	2022	China Shandong	Cygnus cygnus	migratory birds
SD16	2022	China Shandong	Cygnus cygnus	migratory birds
CRR355451	2019	China Sichuan	Egretta garzetta	migratory birds
CRR355452	2019	China Sichuan	Egretta garzetta	migratory birds
CRR355453	2019	China Sichuan	Egretta garzetta	migratory birds
XZ01	2022	China Xizang	Anser indicus	migratory birds
XZ02	2022	China Xizang	Anser indicus	migratory birds
XZ04	2022	China Xizang	Anser indicus	migratory birds
XZ05	2022	China Xizang	Anser indicus	migratory birds
XZ06	2022	China Xizang	Anser indicus	migratory birds
XZ07	2022	China Xizang	Anser indicus	migratory birds
XZ08	2022	China Xizang	Anser indicus	migratory birds
XZ09	2022	China Xizang	Anser indicus	migratory birds
XZ10	2022	China Xizang	Anser indicus	migratory birds
XZ11	2022	China Xizang	Anser indicus	migratory birds
XZ12	2022	China Xizang	Anser indicus	migratory birds
SRR10874395	2018-2019	China  Shanghai	Egretta garzetta	Resident birds
SRR10874396	2018-2019	China  Shanghai	Egretta garzetta	Resident birds
SRR10874028	2018-2019	China  Hunan	Cygnus atratus	Resident birds
SRR10875081	2018-2019	China  Hunan	Lophura nycthemera	Resident birds
SRR10873775	2018-2019	China  Zhejiang	Ciconia boyciana	migratory birds
SRR21898906	2020	China  Henan	Cygnus cygnus	migratory birds
SRR21898907	2020	China  Henan	Cygnus cygnus	migratory birds
SRR21898908	2020	China  Henan	Cygnus cygnus	migratory birds
SRR21898909	2020	China  Henan	Cygnus cygnus	migratory birds
SRR21898910	2020	China  Henan	Cygnus cygnus	migratory birds
SRR21898911	2019	China  Henan	Cygnus cygnus	migratory birds
SRR21898912	2019	China  Henan	Cygnus cygnus	migratory birds
SRR21898913	2021	China  Henan	Cygnus atratus	Resident birds
SRR21898914	2021	China  Henan	Cygnus atratus	Resident birds
SRR21898915	2021	China  Henan	Cygnus atratus	Resident birds
SRR21898916	2021	China  Henan	Cygnus atratus	Resident birds
SRR21898917	2021	China  Henan	Cygnus atratus	Resident birds
SRR21898918	2021	China  Henan	Cygnus atratus	Resident birds
SRR21898919	2021	China  Henan	Cygnus atratus	Resident birds
SRR21898920	2021	China  Henan	Cygnus cygnus	migratory birds
SRR21898921	2019	China  Henan	Cygnus cygnus	migratory birds
SRR21898922	2021	China  Henan	Cygnus cygnus	migratory birds
SRR21898923	2021	China  Henan	Cygnus cygnus	migratory birds
SRR21898924	2021	China  Henan	Cygnus cygnus	migratory birds
SRR21898925	2021	China  Henan	Cygnus cygnus	migratory birds
SRR21898926	2021	China  Henan	Cygnus cygnus	migratory birds
SRR21898927	2021	China  Henan	Cygnus cygnus	migratory birds
SRR21898928	2021	China  Henan	Cygnus cygnus	migratory birds
SRR21898929	2021	China  Henan	Cygnus cygnus	migratory birds
SRR21898930	2021	China  Henan	Cygnus cygnus	migratory birds
SRR21898931	2021	China  Henan	Cygnus cygnus	migratory birds
SRR21898932	2019	China  Henan	Cygnus cygnus	migratory birds
SRR21898933	2019	China  Henan	Cygnus cygnus	migratory birds
SRR10083311	2016	China  Jiangxi	Unknown wild birds	Unknown
SRR10083310	2016	China  Jiangxi	Unknown wild birds	Unknown
SRR10083309	2016	China  Jiangxi	Unknown wild birds	Unknown
SRR10083308	2016	China  Jiangxi	Unknown wild birds	Unknown
SRR10083307	2016	China  Jiangxi	Unknown wild birds	Unknown
SRR10083305	2016	China  Jiangxi	Unknown wild birds	Unknown
SRR10083304	2016	China  Jiangxi	Unknown wild birds	Unknown
SRR10083303	2016	China  Jiangxi	Unknown wild birds	Unknown
SRR10083302	2016	China  Jiangxi	Unknown wild birds	Unknown
SRR10083301	2016	China  Jiangxi	Unknown wild birds	Unknown
SRR10083300	2016	China  Jiangxi	Unknown wild birds	Unknown
SRR10874390	2018-2019	China  Heilongjiang	Accipiter gularis	migratory birds
SRR10873444	2018-2019	China  Heilongjiang	Cyanopica cyanus	Resident birds
SRR10874053	2018-2019	China  Heilongjiang	Garrulus glandarius	Resident birds
SRR10875204	2018-2019	China  Heilongjiang	Emberiza elegans	migratory birds
SRR10875205	2018-2019	China  Heilongjiang	Emberiza elegans	migratory birds
SRR10874850	2018-2019	China  Heilongjiang	Emberiza chrysophrys	migratory birds
SRR10875337	2018-2019	China  Heilongjiang	Emberiza tristrami	migratory birds
SRR10873907	2018-2019	China  Heilongjiang	Emberiza pusilla	migratory birds
SRR10874021	2018-2019	China  Heilongjiang	Emberiza spodocephala	migratory birds
SRR10874019	2018-2019	China  Heilongjiang	Emberiza spodocephala	migratory birds
SRR10874853	2018-2019	China  Heilongjiang	Carduelis spinus	migratory birds
SRR10873950	2018-2019	China  Heilongjiang	Lanius cristatus	migratory birds
SRR10875473	2018-2019	China  Heilongjiang	Motacilla cinerea	migratory birds
SRR10875768	2018-2019	China  Heilongjiang	Motacilla cinerea	migratory birds
SRR10874867	2018-2019	China  Heilongjiang	Ficedula zanthopygia	migratory birds
SRR10873732	2018-2019	China  Heilongjiang	Phylloscopus tenellipes	migratory birds
SRR10874380	2018-2019	China  Heilongjiang	Saxicola torquata	migratory birds
SRR10874864	2018-2019	China  Heilongjiang	Tarsiger cyanurus	migratory birds
SRR10874865	2018-2019	China  Heilongjiang	Tarsiger cyanurus	migratory birds
SRR10874918	2018-2019	China  Heilongjiang	Tarsiger cyanurus	migratory birds
SRR10875070	2018-2019	China  Heilongjiang	Tarsiger cyanurus	migratory birds
SRR10873447	2018-2019	China  Heilongjiang	Ficedula mugimaki	migratory birds
SRR10873446	2018-2019	China  Heilongjiang	Ficedula mugimaki	migratory birds
SRR10874717	2018-2019	China  Heilongjiang	Turdus hortulorum	migratory birds
SRR10874791	2018-2019	China  Heilongjiang	Turdus hortulorum	migratory birds
SRR10873923	2018-2019	China  Heilongjiang	Ficedula parva	migratory birds
SRR10874399	2018-2019	China  Heilongjiang	Phylloscopus coronatus	migratory birds
SRR10875136	2018-2019	China  Heilongjiang	Parus major	Resident birds
SRR10875305	2018-2019	China  Heilongjiang	Parus major	Resident birds
SRR10875094	2018-2019	China  Heilongjiang	Poecile palustris	Resident birds
SRR10875080	2018-2019	China  Heilongjiang	Aegithalos caudatus	Resident birds
SRR10873904	2018-2019	China  Heilongjiang	Aegithalos caudatus	Resident birds
SRR10873916	2018-2019	China  Heilongjiang	Aegithalos caudatus	Resident birds
SRR10874070	2018-2019	China  Heilongjiang	Coccothraustes coccothraustes	Resident birds
SRR10874718	2018-2019	China  Heilongjiang	Passer montanus	Resident birds
SRR10873475	2018-2019	China  Heilongjiang	Fringilla montifringilla	migratory birds
SRR10874810	2018-2019	China  Heilongjiang	Syrmaticus reevesii	Resident birds
SRR10874829	2018-2019	China  Heilongjiang	Dendrocopos leucotos	Resident birds
SRR10874833	2018-2019	China  Heilongjiang	Dendrocopos minor	Resident birds
SRR10874830	2018-2019	China  Heilongjiang	Dendrocopos leucotos	Resident birds
SRR10873966	2018-2019	China  Heilongjiang	Prunella montanella 	Resident birds
SRR10873736	2018-2019	China  Heilongjiang	Sitta europaea	Resident birds
SRR10873729	2018-2019	China  Heilongjiang	Sitta europaea	Resident birds
SRR10874841	2018-2019	China  Heilongjiang	Emberiza chrysophrys	migratory birds
SRR10873881	2018-2019	China  Jiangsu	Streptopelia turtur	migratory birds
SRR10873887	2018-2019	China  Jiangsu	Streptopelia turtur	migratory birds
SRR10873895	2018-2019	China  Jiangsu	Streptopelia turtur	migratory birds
SRR10873920	2018-2019	China  Jiangsu	Streptopelia turtur	migratory birds
SRR10873738	2018-2019	China  Qinghai	Anser indicus	migratory birds
SRR10873751	2018-2019	China  Qinghai	Anser indicus	migratory birds
SRR10873756	2018-2019	China  Qinghai	Anser indicus	migratory birds
SRR10873764	2018-2019	China  Qinghai	Anser indicus	migratory birds
SRR10873767	2018-2019	China  Qinghai	Anser indicus	migratory birds
SRR10873769	2018-2019	China  Qinghai	Anser indicus	migratory birds
SRR10083277	2016	China  Qinghai	Unknown wild birds	Unknown
SRR10083279	2016	China  Qinghai	Unknown wild birds	Unknown
SRR10083280	2016	China  Qinghai	Unknown wild birds	Unknown
SRR10083281	2016	China  Qinghai	Unknown wild birds	Unknown
SRR10083282	2016	China  Qinghai	Unknown wild birds	Unknown
SRR10083283	2016	China  Qinghai	Unknown wild birds	Unknown
SRR10083284	2016	China  Qinghai	Unknown wild birds	Unknown
SRR10083285	2016	China  Qinghai	Unknown wild birds	Unknown
SRR10083286	2016	China  Qinghai	Unknown wild birds	Unknown
SRR10083323	2016	China  Qinghai	Unknown wild birds	Unknown
SRR10083324	2016	China  Qinghai	Unknown wild birds	Unknown
SRR10874815	2018-2019	China  Hunan	Chrysolophus amherstiae	Resident birds
SRR10874818	2018-2019	China  Hunan	Chrysolophus pictus	Resident birds
SRR10873811	2018-2019	China  Heilongjiang	Anser albifrons	migratory birds
SRR10873863	2018-2019	China  Heilongjiang	Anser albifrons	migratory birds
